    title,release_year,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
John Mulaney: New in Town,2012,58,"['comedy', 'documentation']",['US'],,tt2246779,8.2,6608.0,5.184,8.1
A Perfect Ending,2012,110,"['drama', 'romance']",['US'],,tt1823059,5.7,4308.0,14.915,6.3
Bill Burr: You People Are All The Same,2012,68,['comedy'],['US'],,tt2290153,8.2,7370.0,7.25,7.5
The History of Future Folk,2012,86,"['comedy', 'music', 'scifi']",['US'],,tt2245195,7.1,3398.0,4.882,6.8
Donald Glover: Weirdo,2012,65,"['comedy', 'documentation']",['US'],,tt2345525,7.4,3511.0,5.327,6.8
Middle of Nowhere,2012,101,['drama'],['US'],,tt1211890,6.5,1818.0,3.689,6.7
Kung Fu Panda: Secrets of the Scroll,2012,23,['comedy'],['US'],,,,,15.915,6.8
What About Dick?,2012,80,['comedy'],"['US', 'GB']",,,,,5.564,7.4
Escape from Planet Earth,2012,89,"['comedy', 'family', 'scifi', 'animation']","['CA', 'US']",,tt0765446,5.8,25639.0,20.273,5.7
Sebastian Maniscalco: What's Wrong with People?,2012,75,['comedy'],['US'],,tt2215489,8.0,1194.0,3.129,7.9
Mosquita y Mari,2012,85,['drama'],['US'],,tt1978480,6.3,918.0,3.43,6.2
Joan Rivers: Don't Start with Me,2012,68,['comedy'],['US'],,tt2519318,6.6,408.0,2.277,6.0
Maria Bamford: The Special Special Special!,2012,50,['comedy'],['US'],,tt2547430,7.0,567.0,1.896,7.0
Big Time Movie,2012,65,"['comedy', 'family', 'music']",['US'],,tt2163203,6.1,1936.0,11.432,7.6
Jeff Dunham: Minding the Monsters,2012,80,['comedy'],['US'],,tt2461736,7.0,1401.0,3.463,6.2
Blitz Patrollie,2012,101,"['comedy', 'action', 'crime']",['US'],,tt2336284,5.4,145.0,1.72,
6 Bullets,2012,115,"['thriller', 'drama', 'action', 'crime']",['US'],,tt1975249,6.0,14898.0,25.607,6.0
Jim Gaffigan: Mr. Universe,2012,77,['comedy'],['US'],,,,,3.908,6.9
FRED 3: Camp Fred,2012,81,"['comedy', 'family']",['US'],,tt2395219,2.0,2625.0,6.233,5.6
Katt Williams: Kattpacalypse,2012,60,['comedy'],['US'],,tt2370686,5.5,635.0,2.392,5.6
Taxi Ballad,2012,93,['drama'],"['AE', 'US', 'LB']",,,,,0.6,
Moshe Kasher: Live in Oakland,2012,60,['comedy'],['US'],,tt2229301,6.7,330.0,1.12,7.1
Her,2013,126,"['drama', 'romance', 'scifi']",['US'],,tt1798709,8.0,586679.0,29.436,7.9
42,2013,128,"['drama', 'sport']",['US'],,tt0453562,7.5,93314.0,13.936,7.1
The Call,2013,94,"['crime', 'thriller', 'drama', 'horror', 'european']",['US'],,tt1911644,6.7,120475.0,36.703,6.8
Oldboy,2013,104,"['thriller', 'action', 'drama']",['US'],,tt1321511,5.7,75015.0,18.58,5.9
Rush,2013,123,"['drama', 'action', 'sport', 'european']","['US', 'DE', 'GB']",,tt1979320,8.1,465254.0,34.763,7.7
Begin Again,2013,104,"['comedy', 'music', 'romance', 'drama']",['US'],,tt1980929,7.4,154049.0,17.267,7.3
The Conjuring,2013,107,"['thriller', 'horror']",['US'],,tt1457767,7.5,491048.0,150.432,7.5
Insidious: Chapter 2,2013,106,"['thriller', 'horror']",['US'],,tt2226417,6.5,167549.0,52.127,6.7
